,Poet,birthday
1291,Darren%20Sardelli,/poets/darren-sardelli
1292,Solomon%20Ibn%20Gabirol,/poets/shelomo-ibn-gabirol
1293,Shira%20Dentz,/poets/shira-dentz
1294,Douglas%20Florian,/poets/douglas-florian
1295,Simon%20Armitage,/poets/simon-armitage
1296,Bin%20Ramke,/poets/bin-ramke
1297,Craig%20Morgan%20Teicher,/poets/craig-morgan-teicher
1298,Brook%20Emery,/poets/brook-emery
1299,Elise%20Paschen,/poets/elise-paschen
1300,Stephen%20Ira,/poets/stephen-ira
1301,Weldon%20Kees,/poets/weldon-kees
1302,Marjorie%20Maddox,/poets/marjorie-maddox
1303,Naomi%20Shihab%20Nye,/poets/naomi-shihab-nye
1304,Frank%20O'Hara,/poets/frank-ohara
1305,Jan%20Beatty,/poets/jan-beatty
1306,Lucretius,/poets/lucretius
1307,Belle%20Randall,/poets/belle-randall
1308,Brian%20Lucas,/poets/brian-lucas
1309,Maggie%20Smith,/poets/maggie-smith
1310,Todd%20Colby,/poets/todd-colby
1311,Emmy%20Pérez,/poets/emmy-perez
1312,Charles%20Hanson%20Towne,/poets/charles-hanson-towne
1313,Henry%20Taylor,/poets/henry-taylor
1314,Neisha%20Tweed,/poets/neisha-tweed
1315,Henry%20Parland,/poets/henry-parland
1316,Henry%20Gould,/poets/henry-gould
1317,Les%20Murray,/poets/les-murray
1318,Vivian%20Smith,/poets/vivian-smith
1319,Anne%20Kennedy,/poets/anne-kennedy
1320,Russell%20Edson,/poets/russell-edson
1321,Szilárd%20Borbély,/poets/szilard-borbely
1322,Doireann%20Ní%20Ghríofa,/poets/doireann-ni-ghriofa
1323,Marci%20Ridlon,/poets/marci-ridlon
1324,Chrystos,/poets/chrystos
1325,Alec%20Brock%20Stevenson,/poets/alec-brock-stevenson
1326,John%20Trudell,/poets/john-trudell
1327,Donald%20Revell,/poets/donald-revell
1328,John%20Bunyan,/poets/john-bunyan
1329,Sandra%20Lim,/poets/sandra-lim
1330,Joseph%20Massey,/poets/joseph-massey
1331,Ryler%20Dustin,/poets/ryler-dustin
1332,Bruce%20Weigl,/poets/bruce-weigl
1333,Anne%20Hunter,/poets/anne-hunter
1334,Arthur%20Hugh%20Clough,/poets/arthur-hugh-clough
1335,Matthew%20Francis,/poets/matthew-francis
1336,Danez%20Smith,/poets/danez-smith
1337,Timothy%20Steele,/poets/timothy-steele
1338,Jorge%20Evans,/poets/jorge-evans
1339,Mei-mei%20Berssenbrugge,/poets/mei-mei-berssenbrugge
1340,Srikanth%20Reddy,/poets/srikanth-reddy
1341,Rocket%20Caleshu,/poets/rocket-caleshu
1342,Sally%20Van%20Doren,/poets/sally-van-doren
1343,Delmore%20Schwartz,/poets/delmore-schwartz
1344,Ralph%20Waldo%20Emerson,/poets/ralph-waldo-emerson
1345,Ishion%20Hutchinson,/poets/ishion-hutchinson
1346,Christopher%20Soto,/poets/christopher-soto
1347,David%20Tomas%20Martinez,/poets/david-tomas-martinez
1348,Mathilde%20Blind,/poets/mathilde-blind
1349,Ching-In%20Chen,/poets/ching-in-chen
1350,Rusty%20Morrison,/poets/rusty-morrison
1351,Angelo%20Giambra,/poets/angelo-giambra
1352,Steve%20Gehrke,/poets/steve-gehrke
1353,Cecil%20Touchon,/poets/cecil-touchon
1354,Ruth%20Stone,/poets/ruth-stone
1355,Suji%20Kwock%20Kim,/poets/suji-kwock-kim
1356,Charles%20Baudelaire,/poets/charles-baudelaire
1357,Osip%20Mandelstam,/poets/osip-mandelstam
1358,Stephen%20Yenser,/poets/stephen-yenser
1359,Daniel%20Bailey,/poets/daniel-bailey
1360,Håkan%20Sandell,/poets/hackan-sandell
1361,Joyce%20Kilmer,/poets/joyce-kilmer
1362,Deborah%20Cummins,/poets/deborah-cummins
1363,Günter%20Eich,/poets/gunter-eich
1364,Sappho,/poets/sappho
1365,Hartley%20Coleridge,/poets/hartley-coleridge
1366,Caitlin%20Doyle,/poets/caitlin-doyle
1367,Emily%20Skillings,/poets/emily-skillings
1368,Katrina%20Roberts,/poets/katrina-roberts
1369,Edgar%20Albert%20Guest,/poets/edgar-albert-guest
1370,Robert%20Bridges,/poets/robert-bridges
1371,Jo%20McDougall,/poets/jo-mcdougall
1372,Lianne%20Spidel,/poets/lianne-spidel
1373,Hilda%20Morley,/poets/hilda-morley
